player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Marty Laguerre,Guard,73.0,185,,Arkansas-Little Rock,1980,2,51.0,17.8,2.4,2.5,49.6,,78.5,,,
Pat Laguerre,Guard,73.0,185,,Jacksonville,1989,4,115.0,6.2,1.9,3.3,42.6,,79.8,,,
Brian LaGura,,,,,St. Francis (NY),1986,1,25.0,9.4,3.1,1.6,44.9,,78.0,,,
Tim LaHann,Center,80.0,203,,Tulane,1974,2,11.0,,1.4,0.2,,,,,,
Jack Lahey,Guard,74.0,188,,Holy Cross,1970,2,30.0,4.6,1.2,,41.1,,70.0,,,
John Lahey,Forward,74.0,188,,DePaul,1951,2,50.0,11.3,,,36.2,,65.1,,,
_ Lahiff,,,,,Brown,1984,1,6.0,0.7,0.5,0.2,33.3,,0.0,,,
Mike Lahm,Center,73.0,211,,Loyola Marymount,1982,2,35.0,1.1,1.7,,39.4,,70.0,,,
Mike Lahm,Center,73.0,211,,Murray State,1985,2,56.0,9.0,5.4,0.9,59.2,,68.9,,,
Nick Lahners,Guard,,,,Nebraska,2000,1,5.0,0.2,0.4,0.6,0.0,0.0,50.0,0.0,,-0.1
Al Lahr,Forward,74.0,188,,Southern Miss,1973,2,42.0,3.3,1.6,,44.3,,63.2,,,
Pasi Lahtinen,Forward,80.0,203,,Fresno State,1990,1,5.0,0.6,0.2,,25.0,,100.0,25.0,,
Art Laib,,,,,Kentucky,1970,2,12.0,0.7,1.1,,50.0,,,,,
Brian Laibow,Guard,76.0,193,,Dartmouth,1999,3,55.0,1.8,0.9,0.5,29.4,25.4,77.3,39.4,,0.4
Darren Laiche,Forward,76.0,193,,New Orleans,1993,3,71.0,2.0,1.3,0.9,47.0,,61.4,47.0,,
Darren Laiche,Guard,75.0,190,,New Orleans,1990,1,24.0,0.8,1.0,1.2,33.3,,57.1,33.3,,
