player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Chris Newell,Guard,76.0,193,,UCSB,2002,1,1.0,0.0,0.0,0.0,,,,,,0.0
Claude Newell,Guard,76.0,193,,Grambling,1990,2,57.0,16.0,3.2,1.4,47.7,44.8,80.7,57.1,,
Dernard Newell,Guard,74.0,188,,Miami (OH),1987,3,65.0,2.8,0.6,,41.9,,80.0,,,
Fred Newell,Guard,68.0,160,Lakeville North,North Dakota State,2014,4,54.0,0.8,0.5,0.2,33.3,23.1,57.1,37.2,14.4,0.4
Greg Newell,Guard,76.0,193,,Pepperdine,1978,2,31.0,1.3,0.6,0.8,33.9,,,,,
Jerry Newell,Guard,69.0,175,,Creighton,1978,4,32.0,1.3,0.6,,32.1,,,,,
Kip Newell,Forward,79.0,201,,Boise State,1976,2,40.0,3.0,3.2,,39.2,,60.3,,,
Marshun Newell,Guard,75.0,195,Middle College HS,UT-Martin,2015,2,65.0,11.8,5.2,3.0,39.3,36.0,71.7,46.7,16.2,4.5
Pete Newell,Guard,76.0,193,,San Jose State,1966,3,,,,,,,,,,
Royce Newell,,,,,Syracuse,1949,2,49.0,8.9,,,,,69.0,,,
Steve Newell,,,,,Ohio State,1971,1,,,,,,,,,,
Tom Newell,Guard,76.0,193,,Hawaii,1971,3,77.0,7.4,1.6,,36.6,,67.0,,,
Reid Newey,Guard,77.0,196,,Utah State,1989,3,90.0,15.9,3.8,3.1,43.5,41.4,76.5,54.9,,
Reid Newey,Guard,77.0,196,,Utah State,1984,1,26.0,4.1,1.2,0.8,52.0,,65.9,,,
Don Newhook,,,,,St. Bonaventure,1959,3,70.0,9.7,3.3,,36.5,,66.7,,,
Bill Newkirk,,,,,Louisville,1953,1,9.0,1.1,0.4,,36.4,,40.0,,,
Bill Newkirk,,,,,Harvard,1970,1,18.0,0.7,0.7,,35.7,,60.0,,,
