player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Donatas Zavackas,Forward,80.0,203,,Pitt,2003,4,118.0,,9.3,4.4,1.6,0.4,0.2,,44.7,40.5,80.7,54.8,,12.4
Jeff Zavada,Center,81.0,206,,Green Bay,1994,2,58.0,,6.8,3.0,0.8,0.3,0.2,,53.0,28.6,70.6,53.3,,
Jeff Zavada,Forward,81.0,206,,Marquette,1991,2,18.0,,0.7,0.8,,0.1,,,54.5,,,,,
Javier Zavala,Guard,72.0,183,,San Jose State,1994,2,51.0,,5.9,2.6,2.5,0.9,0.2,,37.3,35.9,72.2,43.2,,
Bob Zavorskas,,,,,Bucknell,1966,2,25.0,,2.6,,,,,,30.6,,54.1,,,
Tom Zavorskas,Guard,61.0,178,,Boston University,1966,3,54.0,,5.5,2.9,,,,,28.8,,62.4,,,
Ron Zawacki,Guard,61.0,180,,LIU-Brooklyn,1971,1,10.0,,4.6,3.0,,,,,51.5,,80.0,,,
Ted Zawacki,Forward,76.0,193,,Wake Forest,1963,3,39.0,,1.4,1.0,,,,,37.8,,59.1,,,
Ray Zawackzki,Forward,76.0,193,,Dayton,1959,1,10.0,,1.4,0.5,,,,,42.9,,100.0,,,
Ray Zawadski,Forward,,,,Dayton,1961,1,16.0,,1.6,0.9,,,,,36.4,,55.6,,,
Ray Zawadzki,,,,,Dayton,1960,1,8.0,,1.5,1.1,,,,,27.3,,66.7,,,
Joe Zawawacki,,,,,Villanova,1960,1,10.0,,0.2,0.7,,,,,9.1,,,,,
Bob Zawoluk,Center,78.0,198,,St. John's (NY),1951,2,90.0,7.2,20.2,,,,,3.1,43.7,,73.2,,,
Steve Zazuri,Guard,74.0,195,,Sacred Heart,2012,4,70.0,12.9,0.6,1.1,1.3,0.5,0.1,1.0,30.4,,53.8,30.4,,-0.1
Frank Zazzaro,Forward,76.0,193,,Seton Hall,1977,4,62.0,,3.1,,,,,,46.1,,,,,
John Zazzaro,Guard,75.0,190,,USC,1965,3,45.0,,5.3,1.5,,,,,40.2,,50.7,,,
Bill Zban,,,,,Marshall,1956,1,1.0,,,,,,,,,,,,,
Larry Zebrack,Guard,72.0,183,,George Washington,1968,1,4.0,,1.8,0.8,,,,,33.3,,60.0,,,
