player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bernie Thompson,,,,,Illinois,1957,1,,,,,,,,,,,,,,
Bershaun Thompson,Guard,75.0,190,,Charlotte,1994,4,82.0,,5.9,2.3,2.4,0.7,0.0,,37.3,31.1,60.4,44.0,,
Bill Thompson,Forward,76.0,193,,Loyola Marymount,1972,1,25.0,,8.2,2.4,,,,,44.6,,69.7,,,
Bill Thompson,Guard,72.0,183,,Drexel,1968,1,17.0,,4.2,2.1,,,,,27.5,,76.7,,,
Bill Thompson,Guard,73.0,185,,University of California,1951,3,70.0,,3.1,,,,,,,,46.5,,,
Billy Thompson,Guard,76.0,193,,Colorado,1983,2,26.0,,1.9,0.7,0.3,0.3,,,62.1,,82.4,,,
Billy Thompson,,,,,Louisville,1984,2,143.0,4.6,11.8,5.4,3.2,1.3,3.3,3.0,52.8,,71.9,,,
Blake Thompson,Guard,61.0,178,,Georgia Southern,2009,3,35.0,,1.0,0.3,0.3,0.2,0.0,0.3,33.3,33.3,57.1,41.0,,0.1
Blake Thompson,Center,84.0,213,,Prairie View,2009,2,31.0,,4.1,2.2,0.3,0.1,1.1,1.1,46.2,42.1,58.8,50.0,,0.7
Bob Thompson,,,,,Ohio State,1971,3,,,,,,,,,,,,,,
Bob Thompson,,,,,Pitt,1967,2,31.0,,1.3,2.2,,,,,27.4,,31.6,,,
Bobby Thompson,Guard,72.0,183,,Arizona State,1987,4,112.0,26.5,8.3,,4.2,1.1,0.1,1.9,41.6,,75.7,,,
Bobby Thompson,Guard,72.0,183,,Tulane,1985,4,43.0,,0.9,0.7,,0.3,,,,,,,,
Bobby Thompson,Forward,75.0,190,,Baylor,1971,1,24.0,,11.0,3.8,,,,,39.6,,67.3,,,
Brad Thompson,Center,73.0,208,,Oral Roberts,1979,1,14.0,,3.1,3.4,0.1,,,,29.0,,38.9,,,
Brandon Thompson,Guard,72.0,183,,Arizona State and LIU-Brooklyn,2013,3,77.0,22.0,5.6,2.5,0.9,0.9,0.2,0.8,38.9,33.2,76.9,51.1,12.8,3.2
Brandon Thompson,Guard,61.0,150,Covenant Life School,Citadel,2015,1,10.0,3.6,1.4,0.1,0.2,0.0,0.0,0.1,50.0,57.1,,70.0,15.6,0.1
Brett Thompson,Center,73.0,208,,Saint Louis,2009,1,30.0,,2.0,2.5,0.3,0.2,0.5,1.1,40.0,20.0,72.2,41.8,,1.0
Brett Thompson,Guard,73.0,185,,Eastern Washington,1996,3,64.0,,2.4,1.2,1.7,0.5,0.0,,45.0,40.6,53.3,50.0,,
Brian Thompson,Forward,78.0,198,,Florida,1996,4,119.0,,4.8,3.7,1.1,0.6,0.2,,43.0,14.3,60.3,43.3,,
Brooks Thompson,Guard,76.0,193,,Texas A&M and Oklahoma State,1994,4,123.0,33.3,13.6,3.4,4.7,2.7,0.1,3.2,44.1,40.0,75.3,54.7,,
Byron Thompson,Forward,79.0,201,,Akron,2003,3,64.0,,3.7,3.8,0.6,0.7,0.4,,55.7,0.0,68.5,55.7,,1.5
Calvin Thompson,Guard,75.0,190,Helen Cox,Howard,2012,4,82.0,27.6,10.5,4.1,1.8,0.8,0.1,2.5,35.1,27.9,71.6,38.4,,2.1
Calvin Thompson,Forward,78.0,198,,Kansas,1986,4,131.0,,11.8,3.9,2.5,0.6,0.3,,53.4,,82.1,,,
Cazzie Thompson,Guard,75.0,190,,Idaho State,1980,1,25.0,,4.6,1.3,1.7,0.5,,,44.2,,74.4,,,
Chad Thompson,Guard,75.0,190,,Campbell,2009,1,6.0,,3.0,0.8,0.5,0.2,0.2,0.5,35.0,25.0,100.0,40.0,,0.0
Chahvis Thompson,,,,,Louisiana-Monroe,2004,2,35.0,,8.3,5.7,0.6,0.4,0.8,,51.8,0.0,71.0,51.8,,2.8
Chandler Thompson,Forward,76.0,193,,Ball State,1992,3,96.0,30.5,12.7,5.4,2.5,1.2,0.5,3.2,44.4,27.9,67.8,46.3,,
Charles Thompson,Guard,73.0,185,,LSU,2004,4,92.0,,1.1,0.5,0.9,0.2,0.0,,40.0,36.8,85.0,50.0,,1.3
Charles Thompson,Center,,,,Pitt and Northwestern State,2000,4,76.0,,3.8,2.5,0.4,0.5,0.5,,45.4,,59.7,45.4,,
Charles Thompson,Guard,76.0,193,,Pitt,1985,4,54.0,,3.2,,,0.4,0.2,,,,72.1,,,
Charles Thompson,Forward,79.0,201,,Houston,1978,4,118.0,,11.7,6.6,1.1,0.8,0.5,,51.3,,69.9,,,
Chip Thompson,Forward,80.0,203,,Hawaii,1991,1,16.0,,2.6,1.7,0.4,0.3,0.1,,50.0,0.0,62.1,50.0,,
Chip Thompson,Forward,80.0,203,,Wichita State,1988,1,1.0,,2.0,1.0,,,,,100.0,,,,,
Chris Thompson,Forward,79.0,201,,Northwestern State,2001,2,61.0,,10.5,6.7,1.6,1.8,1.0,,48.2,8.3,53.9,48.3,,6.0
Chris Thompson,Forward,79.0,210,Arcadia,Southern Utah,2016,2,50.0,11.3,4.1,2.4,0.3,0.2,0.4,0.9,37.7,34.7,73.0,46.3,11.8,0.1
Chris Thompson,Forward,77.0,196,,UTSA,2006,1,26.0,,4.5,2.0,1.0,0.3,0.1,,41.7,36.7,57.1,50.5,,0.5
Chris Thompson,Guard,,,,Washington,1998,3,69.0,,2.2,1.0,1.9,0.4,0.0,,41.9,17.6,69.9,43.2,,0.9
Chris Thompson,Forward,78.0,198,,UMBC and Nicholls State,1995,4,82.0,,3.0,2.2,,0.2,0.2,,44.8,,64.0,44.8,,
Chris Thompson,Guard,75.0,190,,Pepperdine,1974,1,26.0,,9.6,1.2,1.2,,,,47.9,,73.1,,,
Chris Thompson,Guard,74.0,188,,Oregon,1972,1,18.0,,5.3,1.1,,,,,39.3,,75.0,,,
Christian Thompson,Forward,77.0,196,,Buffalo,1993,1,14.0,,0.1,0.1,0.0,0.0,0.0,,0.0,0.0,50.0,0.0,,
Christion Thompson,Guard,76.0,200,Madison Prep Academy,Rhode Island,2017,2,55.0,14.4,3.2,2.2,0.8,0.6,0.2,0.6,35.3,30.3,61.3,44.9,10.5,2.1
Clare Thompson,,,,,North Carolina-Wilmington,1985,1,,,,,,,,,,,,,,
Clarence Thompson,Forward,77.0,196,,Oral Roberts,1989,1,28.0,,13.7,5.6,0.3,0.5,,,39.9,36.6,81.4,50.0,,
Clarence Thompson,Forward,77.0,196,,North Carolina-Wilmington,1984,1,26.0,,4.2,2.3,0.3,,,,51.1,,71.4,,,
Corny Thompson,Forward,80.0,225,,UConn,1982,4,114.0,34.8,15.9,8.9,1.9,1.6,0.6,,49.4,,78.1,,,
Curt Thompson,Center,,,,West Virginia,1948,1,,,,,,,,,,,,,,
D.J. Thompson,Guard,68.0,173,,Appalachian State,2007,4,123.0,,13.0,2.8,4.1,2.4,0.0,,38.9,38.5,75.1,49.6,,11.4
Dale Thompson,,,,,UNLV,1977,1,2.0,,2.0,1.0,,,,,100.0,,,,,
Damione Thompson,Guard,72.0,183,,Kent State,1997,1,14.0,,1.0,0.5,0.1,0.0,0.0,,41.7,30.0,50.0,54.2,,0.1
Dan Thompson,Center,80.0,203,,Gettysburg,1973,1,25.0,,11.7,7.4,,,,,47.5,,65.6,,,
Dan Thompson,Forward,78.0,198,,Cal State Fullerton,2000,1,21.0,,5.6,2.7,0.8,0.3,0.1,,50.6,52.6,58.6,56.2,,0.6
Danny Thompson,Forward,79.0,230,,Mount St. Mary's,2012,4,95.0,19.5,4.8,4.8,0.4,0.6,1.0,0.9,45.9,,58.5,45.9,,4.3
Danny Thompson,Guard,78.0,198,,Fordham,2010,1,24.0,11.1,1.7,1.4,0.3,0.1,0.0,0.7,25.5,26.9,87.5,32.4,2.2,-0.3
Darius Thompson,Guard,76.0,185,Blackman,Tennessee and Virginia,2017,3,107.0,19.1,4.3,1.6,2.0,0.8,0.3,0.9,45.7,32.1,67.9,52.6,14.1,6.3
Darnell Thompson,Guard,74.0,188,,Long Beach State,2003,1,22.0,,3.8,1.3,2.1,0.7,0.0,,35.4,27.3,56.8,39.2,,-0.3
Darryl Thompson,Forward,79.0,201,,Fresno State,1973,2,52.0,,9.7,6.0,,,,,47.7,,66.7,,,
Dave Thompson,Forward-Guard,78.0,198,,Hartford,1990,3,60.0,,5.5,4.3,3.1,1.1,0.6,,42.0,28.3,72.5,45.0,,
Dave Thompson,Center,73.0,208,,Eastern Washington,1986,3,67.0,,5.2,2.1,,0.4,0.5,,52.2,,69.5,,,
David Thompson,Guard,76.0,195,,North Carolina State,1974,2,86.0,10.9,26.8,8.1,,,,2.8,55.3,,76.3,,,
David Thompson,Center,73.0,208,,Texas A&M,1986,2,34.0,,2.0,1.3,0.4,0.1,0.1,,47.8,,85.2,,,
David Thompson,Forward,73.0,208,,Vermont,1982,1,8.0,,1.0,1.0,,,,,80.0,,,,,
David Thompson,Forward,79.0,201,,Florida State,1978,3,83.0,,15.5,7.5,,1.8,0.4,,47.1,,69.7,,,
Deke Thompson,Guard,72.0,183,,Coppin State and Missouri State,2006,3,90.0,,9.6,2.5,2.2,0.9,0.2,,44.9,41.4,81.0,52.7,,7.4
Delvin Thompson,Guard,73.0,185,,Alcorn State,2007,3,85.0,,15.8,3.7,1.8,1.5,0.1,,42.7,28.8,67.2,47.7,,5.7
Dennis Thompson,Forward,80.0,203,,Arkansas-Little Rock,1982,2,51.0,11.0,2.6,2.3,0.1,0.3,0.1,0.7,47.1,,48.5,,,
Denny Thompson,Guard,61.0,180,,Ohio,1974,3,55.0,,3.5,1.0,,,,,40.8,,82.6,,,
Deon Thompson,Forward,80.0,203,,UNC,2010,4,152.0,26.9,9.3,4.9,0.8,0.8,0.9,1.5,49.4,0.0,65.6,49.4,,13.3
Deon Thompson,Forward,78.0,198,,Toledo,1988,1,3.0,,1.7,1.0,0.3,0.3,0.0,,0.0,,62.5,0.0,,
Derek Thompson,Guard,75.0,178,Melvindale,Southeast Missouri State and Eastern Michigan,2013,4,118.0,21.7,9.1,2.1,1.0,0.6,0.1,1.2,36.7,35.9,71.3,48.1,14.3,5.9
Derell Thompson,Forward,76.0,193,,UMBC,1992,3,84.0,,11.4,4.8,2.3,0.9,0.2,,41.3,33.5,74.9,45.3,,
Devin Thompson,Forward,78.0,198,,St. Peter's,2003,2,57.0,,9.3,6.6,1.1,1.6,1.2,,54.5,0.0,64.0,54.5,,4.5
Dick Thompson,Center,79.0,201,,UConn,1967,3,70.0,,4.8,4.7,,,,,46.6,,72.1,,,
Dick Thompson,Forward,,,,Purdue,1963,2,,,,,,,,,,,,,,
Dick Thompson,,,,,UMass,1956,1,15.0,,2.1,1.5,,,,,27.3,,50.0,,,
Dick Thompson,Forward,72.0,183,,LSU,1951,3,,,,,,,,,,,,,,
Dijon Thompson,Guard,79.0,195,,UCLA,2005,4,117.0,27.8,12.5,4.7,2.0,1.1,0.3,,46.4,36.2,78.1,52.1,,9.7
Dmitri Thompson,Guard,76.0,195,Orlando Christian Prep,Elon,2017,3,97.0,23.3,8.3,4.5,0.9,0.7,0.1,1.5,48.5,26.4,61.2,51.3,13.9,5.0
Donald Thompson,Guard,73.0,185,,Louisiana Tech,1996,2,50.0,,0.6,2.1,3.3,0.8,0.0,,27.3,0.0,35.7,27.3,,
Donald Thompson,Forward,79.0,201,,Texas A&M,1989,2,61.0,,15.9,7.7,0.9,0.8,0.3,,55.8,,73.6,,,
Donnie Thompson,Guard,75.0,190,,Texas-Rio Grande Valley,1979,1,20.0,,5.6,2.1,,,0.3,,43.2,,71.4,,,
E Thompson,,,,,Western Kentucky,1993,1,1.0,,3.0,1.0,0.0,0.0,0.0,,0.0,,100.0,0.0,,
Earl Thompson,Guard,69.0,175,,Sacramento State,1994,1,9.0,,5.7,3.4,5.3,2.3,0.1,,27.0,20.5,40.9,33.3,,
Earl Thompson,Guard,74.0,188,,East Carolina,1969,2,51.0,,15.2,4.1,,,,,51.4,,81.9,,,
Ed Thompson,Forward,79.0,201,,Butler,1979,3,65.0,,4.2,4.3,,,,,40.2,,62.7,,,
Ed Thompson,Guard,75.0,190,,Idaho State,1977,2,57.0,,13.0,3.1,4.5,,,,47.8,,80.2,,,
Eric Thompson,Forward,80.0,203,,St. Francis (NY),2004,4,110.0,,5.1,3.8,0.4,0.5,0.5,,51.6,27.9,58.0,53.1,,4.6
Eric Thompson,Forward,77.0,240,Saddleback JC,Pacific,2016,2,43.0,22.8,8.7,6.2,0.7,0.4,0.9,1.5,53.8,,61.3,53.8,19.7,3.2
Eric Thompson,Forward,,,,Oral Roberts,1995,1,15.0,,2.5,0.9,0.2,0.2,0.2,,41.4,38.5,90.0,50.0,,
Ernie Thompson,Forward,75.0,190,,Bradley,1966,3,82.0,,12.6,7.2,,,,,45.1,,68.6,,,
Eules Thompson,Guard,74.0,188,,Southern Utah,2009,1,8.0,,4.9,1.6,0.9,0.1,0.0,1.0,53.8,50.0,90.0,57.7,,0.3
Fred Thompson,Guard,74.0,188,,Louisiana-Monroe,1990,2,59.0,,15.0,3.1,1.5,0.9,0.1,,48.0,44.6,78.7,57.0,,
Fred Thompson,Guard,76.0,193,,Nevada,1983,2,49.0,,5.1,2.4,,0.6,0.1,,49.7,,67.3,,,
Freddie Thompson,Guard,76.0,193,,UNLV,1979,1,28.0,,7.0,2.8,,0.9,,,43.8,,80.8,,,
Frency Thompson,Guard,74.0,188,,Texas State,1991,1,3.0,,0.3,1.7,,0.3,,,,,50.0,,,
