player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Russell Davis,Forward,78.0,198,,LIU-Brooklyn,1983,3,83.0,,11.6,5.3,,1.1,0.9,,59.7,,68.3,,,
Russell Davis,Forward,78.0,198,,Virginia Tech,1976,2,54.0,,19.5,7.2,,,,,52.6,,79.9,,,
Rusty Davis,Center,80.0,203,,Oklahoma City,1982,2,51.0,,6.9,6.2,0.5,0.7,0.4,,52.2,,73.4,,,
Ryan Davis,Guard,72.0,183,,San Jose State,2002,1,31.0,,2.2,1.0,1.4,0.1,0.0,,30.4,29.4,42.9,36.7,,-0.3
Ryan Davis,Guard,73.0,185,,Weber State,2004,1,29.0,,2.7,1.3,1.7,0.2,0.0,,39.4,33.3,51.4,40.8,,0.2
Ryan Davis,Guard,75.0,190,,Texas State,1989,2,47.0,,4.3,1.6,0.9,0.7,0.1,,40.8,34.0,54.2,44.6,,
Scott Davis,Forward,79.0,201,,Texas Southern,1991,1,10.0,,4.1,3.7,1.2,0.6,0.3,,51.5,,87.5,51.5,,
Scott Davis,Guard,74.0,188,,Virginia Tech,1990,3,53.0,,1.7,0.6,0.3,0.1,0.1,,33.8,31.0,72.4,41.9,,
Scott Davis,Guard,74.0,188,,Wake Forest,1984,4,91.0,,2.1,0.5,1.1,0.4,0.0,,40.6,,69.3,,,
Scott Davis,,,,,Eastern Michigan,1979,1,2.0,,,1.0,,,,,,,,,,
Scott Davis,Guard,75.0,190,,Eastern Michigan,1993,1,1.0,,0.0,,0.0,1.0,0.0,,,,,,,
Scott Davis,Guard,75.0,190,,Toledo,1992,1,13.0,,2.0,0.3,0.2,0.2,0.2,,52.9,44.4,66.7,64.7,,
Scottie Davis,Guard,76.0,193,,Chicago State,1996,3,53.0,,4.4,1.5,0.3,0.5,0.1,,33.2,29.0,62.5,40.8,,
Sean Davis,Forward,77.0,196,,Cal State Northridge,1991,1,28.0,,4.3,3.8,1.1,0.6,0.1,,40.8,0.0,50.0,40.8,,
Sean Davis,Forward,77.0,196,,San Jose State,1989,1,5.0,,2.6,1.4,0.2,,,,62.5,,75.0,62.5,,
