Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Pat Connaughton,POR,"$1,471,382 ",,,,,,Minimum Salary,"$1,471,382 "
Caleb Swanigan,POR,"$1,465,920 ","$1,740,000 ","$2,033,160 ","$3,665,787 ",,,1st Round Pick,"$3,205,920 "
Jake Layman,POR,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Andrew Nicholson,POR,"$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ",,"$19,911,003 "
Anderson Varejao,POR,"$1,913,345 ","$1,913,345 ","$1,913,345 ","$1,913,345 ",,,,"$7,653,380 "
Festus Ezeli,POR,"$333,334 ","$333,333 ","$333,333 ",,,,,"$1,000,000 "
Giannis Antetokounmpo,MIL,"$22,471,910 ","$24,157,303 ","$25,842,697 ","$27,528,090 ",,,1st Round Pick,"$100,000,000 "
Greg Monroe,MIL,"$17,884,176 ",,,,,,Cap Space,"$17,884,176 "
Khris Middleton,MIL,"$14,100,000 ","$13,000,000 ","$13,000,000 ",,,,Bird Rights,"$27,100,000 "
John Henson,MIL,"$11,422,536 ","$10,577,466 ","$9,732,396 ",,,,1st Round Pick,"$31,732,398 "
Mirza Teletovic,MIL,"$10,500,000 ","$10,500,000 ",,,,,Cap Space,"$21,000,000 "
Tony Snell,MIL,"$9,821,429 ","$10,607,143 ","$11,392,857 ","$12,178,571 ",,,Cap space,"$31,821,429 "
Matthew Dellavedova,MIL,"$9,607,500 ","$9,607,500 ","$9,607,500 ",,,,Cap Space,"$28,822,500 "
Jabari Parker,MIL,"$6,782,392 ",,,,,,1st Round Pick,"$6,782,392 "
Thon Maker,MIL,"$2,684,160 ","$2,799,720 ","$3,569,643 ",,,,1st Round pick,"$2,684,160 "
D.J. Wilson,MIL,"$2,135,040 ","$2,534,280 ","$2,961,120 ","$4,548,280 ",,,1st Round Pick,"$4,669,320 "
Rashad Vaughn,MIL,"$1,889,040 ","$2,901,565 ",,,,,1st round pick,"$1,889,040 "
Malcolm Brogdon,MIL,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$1,312,611 "
Gary Payton,MIL,"$1,312,611 ",,,,,,Minimum Salary,
JeQuan Lewis,MIL,"$815,615 ",,,,,,Minimum Salary,
Sterling Brown,MIL,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Spencer Hawes,MIL,"$6,021,175 ",,,,,,,"$6,021,175 "
Larry Sanders,MIL,"$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ",,,"$9,327,735 "
Kyle Lowry,TOR,"$28,703,704 ","$31,000,000 ","$33,296,296 ",,,,Bird Rights,"$93,000,000 "
DeMar DeRozan,TOR,"$27,739,975 ","$27,739,975 ","$27,739,975 ","$27,739,975 ",,,Cap Space,"$83,219,925 "
Serge Ibaka,TOR,"$20,061,729 ","$21,666,667 ","$23,271,604 ",,,,Cap space,"$65,000,000 "
Jonas Valanciunas,TOR,"$15,460,675 ","$16,539,326 ","$17,617,977 ",,,,1st Round Pick,"$32,000,001 "
C.J. Miles,TOR,"$7,936,509 ","$8,333,333 ","$8,730,158 ",,,,MLE,"$16,269,842 "
Lucas Nogueira,TOR,"$2,947,305 ",,,,,,1st Round Pick,"$2,947,305 "
Jakob Poeltl,TOR,"$2,825,640 ","$2,947,320 ","$3,754,886 ",,,,1st Round pick,"$2,825,640 "
Bruno Caboclo,TOR,"$2,451,225 ",,,,,,1st Round Pick,"$2,451,225 "
Delon Wright,TOR,"$1,645,200 ","$2,536,898 ",,,,,1st Round pick,"$1,645,200 "
OG Anunoby,TOR,"$1,645,200 ","$1,952,760 ","$2,281,800 ","$3,872,215 ",,,1st Round Pick,"$3,597,960 "
K.J. McDaniels,TOR,"$1,524,305 ",,,,,,Minimum Salary,"$100,000 "
Norman Powell,TOR,"$1,471,382 ",,,,,,Cap Space,"$1,471,382 "
Fred VanVleet,TOR,"$1,312,611 ",,,,,,Minimum Salary,
Kyle Wiltjer,TOR,"$1,312,611 ",,,,,,Minimum Salary,
Pascal Siakam,TOR,"$1,312,611 ","$1,544,951 ","$2,351,839 ",,,,1st Round pick,"$1,312,611 "
Alfonzo McKinnie,TOR,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$100,000 "
Kennedy Meeks,TOR,"$815,615 ",,,,,,,
Justin Hamilton,TOR,"$1,000,000 ","$1,000,000 ","$1,000,000 ",,,,,"$3,000,000 "
James Harden,HOU,"$28,299,399 ","$30,431,854 ","$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",Bird Rights,"$181,203,253 "
Chris Paul,HOU,"$24,599,495 ",,,,,,Bird Rights,"$24,599,495 "
