player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Terry Habig,Guard,74.0,188,,Tulane,1969,3,73.0,15.6,3.7,,52.1,,81.1,,,
Mohamed Hachad,Guard,77.0,196,,Northwestern,2006,4,111.0,8.3,3.8,1.7,47.1,27.3,54.7,51.6,,6.5
Rui Hachimura,Forward,80.0,225,Meisei HIgh School,Gonzaga,2017,1,28.0,2.6,1.3,0.1,52.8,28.6,54.2,56.6,24.4,0.7
Bob Hachman,,,,,Portland,1967,2,37.0,2.6,2.5,,42.3,,50.0,,,
Dale Hackbart,Forward,74.0,188,,Wisconsin,1959,1,10.0,4.0,3.5,,29.4,,43.5,,,
Kris Hackbusch,Forward,,,,Nevada,1998,4,22.0,0.6,0.3,0.1,,9.1,25.0,,,
Albert Hacker,Center,73.0,208,,Lipscomb,2004,1,27.0,9.6,5.2,0.4,53.0,,63.0,53.0,,1.1
Jerry Hacker,,,,,Tulsa,1955,2,,,,,,,,,,
Brent Hackett,Guard,75.0,190,,Texas Christian,2008,4,122.0,9.0,1.8,1.7,36.0,33.1,70.3,45.6,,4.5
Daniel Hackett,Guard,77.0,196,,USC,2009,3,101.0,8.7,3.6,3.6,43.5,36.6,77.5,49.8,,9.4
Drew Hackett,Guard,74.0,175,,UIC,2016,1,21.0,1.4,0.8,0.5,22.2,13.6,66.7,26.4,0.9,-0.2
Dwayne Hackett,Guard,73.0,185,,USC,1993,2,59.0,7.4,1.4,1.1,37.2,37.5,73.2,53.1,,
Lewis Hackett,,,,,VCU,1981,1,4.0,,,,,,,,,
Mark Hackett,Guard,73.0,185,,Hawaii,1979,2,50.0,6.3,2.4,1.4,40.5,,77.0,,,
Mike Hackett,Forward,77.0,196,,Jacksonville,1982,4,99.0,15.1,8.5,,52.5,,59.8,,,
Mike Hackett,,,,,Central Michigan,1971,1,27.0,,8.2,,42.2,,,,,
Richard Hackett,Guard,74.0,188,,Trinity (TX),1971,2,40.0,5.2,3.0,,40.0,,,,,
Rudy Hackett,Forward,81.0,206,,Syracuse,1975,3,87.0,17.2,11.4,2.5,55.1,,65.4,,,
_ Hackett,,,,,Trinity (TX),1970,1,,,,,,,,,,
Landon Hackim,Guard,61.0,178,,Miami (OH),1996,4,119.0,12.5,1.4,1.4,42.4,41.9,79.4,54.3,,
Jack Hackman,Guard,76.0,180,Jesuit,Hawaii,2014,1,4.0,0.8,0.2,0.0,50.0,100.0,,75.0,5.8,0.0
Jim Hackmann,Guard,73.0,185,,Saint Louis,1975,2,51.0,8.0,2.2,2.6,51.2,,61.3,,,
_ Hackmann,,,,,Saint Louis,1973,1,,,,,,,,,,
Tyler Hackstadt,Guard,75.0,190,,Lamar,2003,3,49.0,7.0,1.9,0.9,35.6,31.5,65.9,45.5,,1.1
Donny Hackworth,Guard,75.0,190,,North Carolina-Wilmington,1996,2,32.0,1.2,0.4,0.1,28.9,25.0,54.5,34.4,,
Thad Hackworth,Guard,74.0,188,,Arkansas-Pine Bluff,2002,2,55.0,6.2,3.0,2.2,32.0,23.7,69.5,35.2,,-0.9
Tati Hadavi,Forward,78.0,198,,Buffalo,1997,3,79.0,1.8,1.9,0.3,50.8,0.0,60.0,50.8,,
Dennis Haddan,Guard,72.0,183,,Idaho,1970,1,20.0,2.4,1.6,0.8,30.3,,47.1,,,
Mark Haddan,Guard,72.0,183,,Fresno State,1976,3,74.0,6.4,2.8,,50.4,,77.3,,,
Patrick Haddan,Guard,73.0,185,,Penn,2003,1,2.0,0.0,0.0,0.5,,,,,,0.0
Brady Hadden,Guard,75.0,183,,Tulane,2011,1,6.0,0.5,0.2,0.0,50.0,50.0,,75.0,1.8,0.0
Mark Hadden,Forward,75.0,190,,Boise State,1990,1,16.0,5.6,1.2,0.4,40.7,14.3,60.0,42.0,,
Monroe Hadden,,,,,Wyoming,1960,1,24.0,3.2,1.4,,24.0,,69.8,,,
Tyler Hadden,Center,73.0,240,St. Xavier HS,Belmont,2017,3,76.0,1.7,1.0,0.1,44.0,28.6,59.1,48.6,10.9,0.5
Darius Haddix,Guard,75.0,190,,Siena,2007,1,3.0,0.7,0.3,0.3,50.0,,,50.0,,0.0
Michael Haddix,Center,79.0,201,,Siena,2007,4,105.0,15.2,7.7,0.6,51.0,0.0,65.4,51.0,,12.6
Rodney Haddix,Guard,75.0,190,,Miami (OH),2010,3,69.0,3.7,1.4,0.6,37.6,30.6,75.0,45.4,,1.4
