player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Willie Farley,Guard,78.0,198,,Fresno State,1999,2,29.0,11.3,5.6,1.7,44.7,34.6,60.0,54.4,,2.5
Jordan Farmar,Guard,74.0,180,,UCLA,2006,2,66.0,13.3,3.0,5.2,41.0,33.3,76.0,47.8,,6.5
Anthony Farmer,Guard,73.0,185,,Rutgers,2009,4,123.0,8.9,2.6,3.0,38.9,35.0,68.4,43.9,,5.7
Ashton Farmer,Forward,79.0,201,,Arkansas State,2008,2,62.0,1.6,1.9,0.4,38.0,0.0,50.0,38.0,,0.1
Ben Farmer,Guard,77.0,196,,Marist,2008,4,117.0,6.2,3.4,1.5,41.6,42.1,72.9,54.2,,6.6
Christian Farmer,Guard,77.0,190,Vance,Winthrop,2014,2,53.0,4.8,0.7,0.4,34.3,31.4,73.9,46.4,11.9,1.1
Cory Farmer,Guard,75.0,190,,East Carolina,2008,2,60.0,7.3,2.4,1.7,35.6,38.4,71.0,43.8,,1.1
Craig Farmer,Forward,,,,Louisville,1998,4,44.0,0.8,0.7,0.2,42.1,25.0,33.3,44.7,,
Darryl Farmer,Forward,79.0,201,,Wagner,1991,2,58.0,11.8,3.1,0.7,58.8,,67.6,58.9,,
Darryl Farmer,Forward,79.0,201,,St. Bonaventure,1988,2,27.0,1.0,0.9,0.0,45.5,,42.9,45.5,,
Desmon Farmer,Guard,77.0,220,,USC,2004,4,121.0,13.3,3.8,1.6,41.0,33.8,74.6,49.0,,9.1
Ed Farmer,Forward,80.0,203,,Maryland,1983,1,20.0,2.7,2.2,0.1,40.8,,63.6,,,
Fletcher Farmer,Forward,78.0,198,,High Point,2000,1,3.0,3.7,2.0,0.0,40.0,0.0,75.0,40.0,,0.0
George Farmer,,,,,UCLA,1969,1,6.0,1.0,0.2,,66.7,,100.0,,,
Jeff Farmer,Forward,77.0,196,,La Salle and Northeastern,2006,4,87.0,3.0,1.3,0.7,34.7,29.7,73.0,43.4,,1.2
Jemal Farmer,Guard,77.0,213,,Arkansas,2011,2,50.0,4.8,2.4,0.7,43.0,37.2,70.7,47.0,11.8,1.3
Jim Farmer,Forward,76.0,190,,Alabama,1987,4,111.0,10.8,3.5,1.7,47.3,,78.5,,,
Jim Farmer,,,,,Virginia,1971,1,5.0,1.2,0.2,0.2,50.0,,,,,
John Farmer,Forward,77.0,196,,St. John's (NY),1976,2,59.0,7.0,4.6,,45.5,,63.9,,,
John Farmer,Center,77.0,196,,Hofstra,1973,1,24.0,15.7,11.0,1.4,40.7,,72.6,,,
Johnny Farmer,Forward,79.0,201,,South Alabama,1977,2,53.0,4.6,3.3,0.4,50.2,,57.1,,,
Larry Farmer,Forward,77.0,196,,UCLA,1973,3,82.0,9.4,4.8,,47.4,,60.0,,,
Mark Farmer,Center,73.0,211,,Alabama,1985,4,75.0,0.9,1.4,0.3,37.3,,60.5,,,
Mike Farmer,Forward,79.0,201,,San Francisco,1957,2,82.0,10.6,8.5,,37.1,,74.1,,,
Monte' Farmer,Forward,81.0,206,,McNeese State,2004,2,43.0,6.4,4.6,0.2,50.9,0.0,80.9,50.9,,2.6
Richie Farmer,Guard,72.0,183,,Kentucky,1992,4,118.0,7.6,1.6,1.6,38.9,34.3,83.8,49.4,,
Robert Farmer,Guard,72.0,183,,Texas A&M,1951,1,19.0,1.9,,,,,66.7,,,
Steve Farmer,Forward,78.0,198,,UIC,1999,1,25.0,3.4,4.0,0.2,42.6,0.0,56.0,42.6,,0.9
Tony Farmer,Forward,81.0,244,,San Jose State and Nebraska,1991,3,64.0,9.2,5.5,0.9,46.6,21.9,67.7,47.4,,
Keith Farnam,Forward,74.0,188,,Oregon,1953,2,39.0,5.0,3.7,,36.3,,69.2,,,
George Farnbach,,,,,Princeton,1963,1,1.0,3.0,1.0,,100.0,,33.3,,,
Marc Farnell,Guard,76.0,193,,Mercer,1988,2,49.0,2.8,1.0,1.4,30.1,29.9,58.5,39.8,,
Brad Farnham,Forward,78.0,198,,Illinois,1975,2,36.0,4.1,3.3,1.0,38.6,,74.5,,,
Sean Farnham,Forward,78.0,198,,UCLA,2000,4,60.0,1.2,1.2,0.4,47.5,,51.5,47.5,,0.7
Dave Farnsworth,Center,80.0,203,,Dartmouth,1960,3,77.0,3.2,5.2,,37.3,,50.0,,,
Frank Farnsworth,,,,,Texas A&M,1970,1,6.0,0.3,,,33.3,,,,,
Ali Farokhmanesh,Guard,72.0,183,,Northern Iowa,2010,2,69.0,9.7,1.7,1.3,39.4,37.5,81.0,53.3,,6.1
Hayden Farquhar,Forward,79.0,230,Throckmorton High School,Abilene Christian,2017,2,59.0,4.5,2.4,0.5,47.4,41.9,52.5,57.7,15.7,1.7
Steve Farquhar,Guard,75.0,190,,Liberty,1990,2,54.0,3.2,1.4,1.7,44.0,36.4,68.1,50.4,,
Zach Farquhar,Guard,69.0,160,Sycamore High School,Liberty,2017,1,16.0,0.7,0.2,0.1,60.0,50.0,75.0,80.0,23.2,0.2
Puncho Farquharson,Guard,77.0,196,,Miami (OH),1994,1,8.0,1.1,0.2,0.0,23.1,30.0,,34.6,,
Dilon Farr,Forward,78.0,219,,Utah,2012,1,31.0,6.7,4.8,0.5,46.9,37.5,56.1,52.0,12.7,0.6
J.B. Farr,Guard,,,,Georgia,1949,1,30.0,4.7,,,31.3,,37.9,,,
James Farr,Forward,73.0,247,Maine Central Institute (ME),Xavier,2016,4,118.0,5.9,5.2,0.3,50.2,31.5,65.2,53.3,20.8,6.9
James Farr,Guard,61.0,178,,Creighton,1989,2,61.0,12.4,3.1,4.5,40.5,35.6,79.7,43.4,,
Jim Farr,Center,79.0,201,,Ole Miss,1972,3,53.0,2.9,4.7,,48.1,,37.3,,,
Lamarr Farr,Forward,76.0,193,,Montana,2005,1,29.0,4.7,2.9,1.8,39.3,36.4,60.6,42.9,,0.5
Morris Farr,Guard,,,,Texas State,1991,2,39.0,8.8,5.2,0.4,49.8,,66.2,49.8,,
Stan Farr,Center,81.0,206,,Texas Christian,1967,3,66.0,8.6,5.0,,52.5,,60.6,,,
Terry Farr,Forward,79.0,201,,Arkansas State,1983,1,17.0,2.5,1.8,,48.6,,46.2,,,
