player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Craig Upchurch,Forward,80.0,203,,Houston,1992,4,126.0,14.9,4.7,1.6,55.6,7.4,63.5,55.6,,
DaMetrius Upchurch,Forward,79.0,210,Garner,North Carolina A&T,2013,4,117.0,4.1,3.4,0.3,49.7,25.0,52.9,49.9,13.3,3.2
Danny Upchurch,Guard,72.0,170,Notre Dame Catholic,Charleston Southern,2016,2,60.0,2.6,1.0,1.3,26.1,23.8,62.0,34.9,3.9,-0.3
Jack Upchurch,Forward,,,,Eastern Kentucky,1961,3,67.0,8.5,,,40.2,,70.4,,,
Jarett Upchurch,Guard,73.0,192,Chaparral,Arizona State,2014,2,9.0,0.8,0.1,0.1,75.0,50.0,,87.5,34.8,0.1
Joseph Upchurch,Guard,72.0,183,,Jackson State,2001,1,17.0,2.0,0.7,0.8,34.1,,35.3,34.1,,-0.1
Wade Upchurch,Guard,72.0,183,,Eastern Kentucky,1973,3,56.0,5.7,1.5,1.8,44.5,,80.0,,,
Don Uphoff,Forward,,,,Cincinnati,1948,1,,,,,,,,,,
Rodney Uphoff,Guard,61.0,178,,Wisconsin,1972,3,,,,,,,,,,
Hal Upjohn,,,,,Yale,1949,2,51.0,3.0,,,,,,,,
_ Uplinger,Forward,,,,Arizona,1949,1,7.0,1.3,,,26.7,,100.0,,,
Bonner Upshaw,Forward,81.0,206,,Alcorn State,1987,4,95.0,7.1,4.7,1.1,42.6,,66.8,,,
Cecil Upshaw,Forward,,,,Centenary (LA),1963,2,46.0,14.3,5.9,,43.8,,76.8,,,
Chad Upshaw,,,,,Buffalo,2006,1,3.0,1.3,1.0,0.0,66.7,,,66.7,,0.0
Dexter Upshaw,Forward,79.0,201,,Yale,2005,3,51.0,2.1,1.8,0.2,45.7,50.0,61.8,46.3,,0.7
Ike Upshaw,Center,81.0,206,,SMU,1993,2,,,,,,,,,,
Kelvin Upshaw,Guard,74.0,180,,Utah,1986,3,84.0,14.6,3.0,3.8,50.4,,79.7,,,
Marc Upshaw,Forward,78.0,198,,Rhode Island,1984,4,98.0,12.8,7.1,1.4,47.6,,65.6,,,
Reggie Upshaw,Forward,79.0,222,Baylor School,Middle Tennessee,2017,4,140.0,11.2,6.5,1.8,48.6,32.3,59.8,52.2,20.7,16.5
Robert Upshaw,Center,73.0,255,San Joaquin Memorial,Fresno State and Washington,2015,2,41.0,7.3,5.8,0.4,50.6,0.0,44.2,50.6,21.9,2.5
Zeke Upshaw,Guard,78.0,215,University,Illinois State and Hofstra,2014,4,95.0,7.9,1.9,0.8,39.1,33.0,74.8,48.3,16.2,3.6
_ Upshaw,,,,,Rhode Island,1983,1,,,,,,,,,,
_ Upshaw,,,,,Centenary (LA),1964,1,23.0,,,,,,,,,
Quinton Upshur,Guard,77.0,207,Booker T. Washington,Virginia Military Institute and Northern Arizona,2015,3,101.0,11.9,3.1,1.0,40.7,35.2,73.3,50.0,18.6,8.6
Devonte Upson,Forward,81.0,205,Harrison (CO),Southeastern Louisiana,2015,2,62.0,9.6,6.8,0.7,60.0,0.0,57.4,60.0,18.2,5.4
Don Upson,,,,,Kansas State,1951,2,,,,,,,,,,
Hollis Upson,Guard,72.0,183,,Gettysburg,1971,1,10.0,1.7,0.3,,50.0,,33.3,,,
Jamie Uptgraft,Guard,,,,Army,1999,4,106.0,5.5,1.8,1.9,36.5,38.2,58.3,49.0,,
Billy Upton,,,,,East Carolina,1965,1,2.0,0.5,0.5,,,,50.0,,,
Davey Upton,Forward,77.0,196,,Belmont,2000,1,28.0,7.0,3.5,0.9,42.2,30.4,75.0,49.1,,0.6
_ Upton,,,,,East Carolina,1966,1,1.0,2.0,1.0,,100.0,,,,,
Rick Urba,,,,,Rider,1975,1,9.0,1.6,0.3,0.1,87.5,,,,,
Dave Urban,Forward,76.0,193,,Loyola (MD),1984,3,70.0,6.0,3.3,,52.5,,57.4,,,
Elbert Urban,,,,,Wichita State,1960,2,,,,,,,,,,
