player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Scott MacKenzie,,,,,Fordham,1988,1,,,,,,,,,,
Tom MacKenzie,Guard,73.0,185,,Vanderbilt,1954,3,67.0,6.9,1.9,,31.3,,71.9,,,
Horace Mackeroy,Guard,72.0,183,,Bethune-Cookman,1988,1,2.0,1.5,1.0,0.5,33.3,100.0,,50.0,,
Brian Mackey,,,,,American,1991,1,6.0,1.2,0.5,,18.2,0.0,50.0,18.2,,
Brian Mackey,Guard,76.0,193,,Harvard,1990,4,,,,,,,,,,
Christian Mackey,Center,78.0,270,Kirkland HS,Denver,2017,3,86.0,3.7,2.6,0.9,54.3,28.0,67.9,55.9,16.2,2.8
Daryl Mackey,Forward,77.0,196,,Utica,1986,2,54.0,10.4,3.8,1.9,51.2,,67.6,,,
Earnest Mackey,Guard,72.0,183,,Northeastern Illinois,1991,1,12.0,3.3,1.3,1.9,40.0,0.0,57.1,40.0,,
Ethan Mackey,Forward,79.0,220,Northfield - Mt. Hermon,Maine,2015,3,39.0,4.9,4.3,0.4,58.1,,47.4,58.1,15.4,1.1
Garry Mackey,Guard,73.0,185,,Seton Hall,1968,3,63.0,10.7,2.9,,38.0,,73.9,,,
Greg Mackey,Forward,79.0,201,,Butler,1986,3,56.0,1.1,1.2,0.3,36.8,,58.6,,,
James Mackey,Guard,,,,Charleston Southern,1998,1,26.0,3.7,2.4,1.5,43.8,41.9,77.8,53.9,,0.6
Jeff Mackey,Forward,78.0,198,,Arizona State,1969,3,72.0,5.1,2.9,,44.6,,77.2,,,
Joe Mackey,,,,,Bucknell,2009,1,5.0,1.0,0.0,0.0,50.0,50.0,,62.5,,0.0
Joe Mackey,Forward,78.0,198,,USC,1972,3,77.0,13.1,4.4,1.4,45.4,,69.5,,,
John Mackey,,,,,Syracuse,1961,1,6.0,4.7,4.7,,38.7,,30.8,,,
Malcolm Mackey,Forward,81.0,248,,Georgia Tech,1993,4,130.0,13.3,9.3,1.1,54.5,,62.1,54.5,,
Marcus Mackey,Forward,79.0,201,,Southeastern Louisiana,1999,1,26.0,6.6,7.8,0.5,43.2,0.0,59.1,43.2,,0.3
Mario Mackey,Guard,61.0,178,,Idaho,2007,1,7.0,10.0,3.0,1.6,37.3,35.9,60.0,49.2,,0.2
Mark Mackey,Guard,61.0,180,,West Chester,1969,1,16.0,3.1,1.3,,38.5,,81.8,,,
Trent Mackey,Guard,75.0,184,Newsome,Louisiana-Monroe and North Florida,2016,4,125.0,9.4,2.1,1.4,43.3,44.5,82.9,60.6,12.5,7.2
Troy Mackey,Guard,72.0,183,,Eastern Washington,1987,1,2.0,3.0,0.5,0.5,33.3,0.0,66.7,33.3,,
_ Mackey,,,,,St. Bonaventure,1948,1,,,,,,,,,,
Glen Mackie,Forward,,,,Arizona State,1949,1,11.0,0.1,,,,,25.0,,,
Joran Mackie,Guard,76.0,200,,San Diego,2011,1,26.0,4.5,1.8,0.8,42.6,38.5,57.4,47.9,8.1,0.2
Keith Mackie,Guard,69.0,165,,Cleveland State,2011,1,8.0,0.0,0.5,0.0,0.0,0.0,,0.0,-13.9,-0.1
Ed Mackiewicz,Forward,76.0,193,,Seton Hall,1981,3,41.0,0.6,0.8,,46.7,,,,,
Gary Mackin,Center,81.0,206,,Virginia Military Institute,1983,3,55.0,3.5,3.2,,49.3,,68.9,,,
Bruce Mackinnon,Guard,,,,Maine,1965,1,14.0,9.1,2.9,,34.3,,55.6,,,
Bruce MacKinnon,Guard,,,,Maine,1964,1,20.0,7.8,3.4,,34.0,,58.3,,,
Jim MacKinnon,,,,,Canisius,1957,1,25.0,4.0,1.5,,34.1,,50.0,,,
